fixture,code,class,measure,staff,voice,expectedPitch,generatedPitch,expectedOnset,generatedOnset,expectedDuration,generatedDuration,pitchDeltaSemitones,onsetDiffQuarters,durationDiffQuarters,clusterHint,likelyPipelineStage,source
piano-rhythm-tuplets-vector,extra-note,pitch,5,1,3,,C5,,1,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,7,1,1,E4,E4,1.5,1.5,0.5,0.25,0,0,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,7,1,1,G4,G4,1.5,1.5,0.5,0.25,0,0,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,7,1,1,E4,E4,2.5,2.5,0.5,0.25,0,0,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,7,1,1,G4,G4,2.5,2.5,0.5,0.25,0,0,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,7,1,1,E4,E4,3,2.75,0.5,0.5,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,7,1,1,G4,G4,3,2.75,0.5,0.5,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,7,1,1,E4,E4,0.5,0.75,0.5,0.25,0,0.25,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,7,1,1,E4,E4,0.5,0.75,0.5,0.25,0,0.25,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,7,1,1,G4,G4,0.5,0.75,0.5,0.25,0,0.25,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,7,1,1,G4,G4,0.5,0.75,0.5,0.25,0,0.25,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,7,1,1,E4,E4,3.5,3.25,0.5,0.75,0,0.25,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,7,1,1,E4,E4,3.5,3.25,0.5,0.75,0,0.25,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,7,1,1,G4,G4,3.5,3.25,0.5,0.75,0,0.25,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,7,1,1,G4,G4,3.5,3.25,0.5,0.75,0,0.25,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,missing-note,pitch,7,1,1,E4,,0,,0.5,,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-rhythm-tuplets-vector,missing-note,pitch,7,1,1,G4,,0,,0.5,,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-rhythm-tuplets-vector,extra-note,pitch,7,1,1,,E4,,1.75,,0.25,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-rhythm-tuplets-vector,extra-note,pitch,7,1,1,,G4,,1.75,,0.25,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-rhythm-tuplets-vector,incorrect-chord,measure-structure,7,,,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-rhythm-tuplets-vector,incorrect-chord,measure-structure,7,1,1,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,8,1,1,C5,C5,2.5,2.5,0.5,1,0,0,0.5,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,8,1,1,A4,A4,1,1.5,1,2,0,0.5,1,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,8,1,1,A4,A4,1,1.5,1,2,0,0.5,1,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,8,1,1,G4,G4,0.75,1.5,0.25,2,0,0.75,1.75,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,8,1,1,G4,G4,0.75,1.5,0.25,2,0,0.75,1.75,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,missing-note,pitch,8,1,1,F4,,0,,0.75,,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-rhythm-tuplets-vector,missing-rest,rhythm,8,1,1,rest,,3,,1,,,,,other,unknown / late MusicXML,event-match
piano-rhythm-tuplets-vector,extra-note,pitch,8,1,1,,F4,,1,,1.5,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-rhythm-tuplets-vector,incorrect-chord,measure-structure,8,1,1,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-rhythm-tuplets-vector,tempo-mismatch,interpretation,1,,,,,,,,,,,,other,unknown / late MusicXML,evaluator-compact
piano-rhythm-tuplets-vector,rest-duration-error,rhythm,5,,,,,,,,,,,,other,unknown / late MusicXML,evaluator-compact
piano-rhythm-tuplets-vector,dotted-rhythm-error,rhythm,5,,,,,,,,,,,,duration-inference,duration_inference,evaluator-compact
