fixture,code,cluster,measure,page,staff,voice,expectedOnset,generatedOnset,onsetDiff,expectedPitch,generatedPitch,expectedChord,generatedChord,fragmentedSameClef,sequentialSameXCount,duplicateOwnershipCount
piano-rhythm-tuplets-vector,incorrect-chord,note-dropped-during-packing,7,,,,,,,,,E4 G4,,,,
piano-rhythm-tuplets-vector,onset-mismatch,onset-resnap-or-gap-pack,8,,1,1,0.75,1,0.25,G4,G4,,,,,
piano-rhythm-tuplets-vector,onset-mismatch,onset-resnap-or-gap-pack,8,,1,1,1,1.5,0.5,A4,A4,,,,,
piano-rhythm-tuplets-vector,onset-mismatch,onset-resnap-or-gap-pack,8,,1,1,0,0.75,0.75,F4,F4,,,,,
piano-articulation-scan,missing-note,note-dropped-during-packing,1,,1,1,0,,,C4,,,,,,
piano-articulation-scan,missing-note,note-dropped-during-packing,1,,1,1,2,,,E4,,,,,,
piano-articulation-scan,missing-note,note-dropped-during-packing,1,,2,2,0,,,C2,,,,,,
piano-articulation-scan,incorrect-chord,note-dropped-during-packing,1,,,,,,,,,C4 E4 G4,E4 G4,,,
piano-articulation-scan,incorrect-chord,note-dropped-during-packing,1,,,,,,,,,E4 G4,G4,,,
piano-articulation-scan,incorrect-chord,note-dropped-during-packing,1,,,,,,,,,C2 G2,G2,,,
piano-articulation-scan,incorrect-chord,same-chord-split-across-onsets,1,,,,,,,,,F2 C3,B2 C3,,,
piano-articulation-scan,onset-mismatch,onset-resnap-or-gap-pack,2,,1,1,1,1.25,0.25,E4,E4,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,2,,1,1,2,1.25,0.75,A4,A4,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,2,,1,1,2,2.75,0.75,F#4,F4,,,,,
piano-articulation-scan,onset-mismatch,onset-resnap-or-gap-pack,2,,1,1,3,2.75,0.25,G4,A4,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,2,,2,2,2,2.75,0.75,D3,D3,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,2,,2,2,2,2.75,0.75,G2,A2,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,2,,1,1,,2.75,,,A4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,2,,1,1,,2.75,,,B4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,2,,2,2,,0,,,C3,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,2,,2,2,,2.75,,,A2,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,2,,2,2,,2.75,,,C3,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,2,,2,2,,2.75,,,E3,,,,,
