fixture,code,class,measure,staff,voice,expectedPitch,generatedPitch,expectedOnset,generatedOnset,expectedDuration,generatedDuration,pitchDeltaSemitones,onsetDiffQuarters,durationDiffQuarters,clusterHint,likelyPipelineStage,source
piano-grand-voices-vector,incorrect-pitch,pitch,7,1,1,A4,G4,1,1,1,1,-2,0,0,accidental-or-staff-position,pitch_mapping,event-match
piano-grand-voices-vector,incorrect-pitch,pitch,7,1,1,D5,A4,0,0,1,1,-5,0,0,staff-pitch-assignment,pitch_mapping,event-match
piano-grand-voices-vector,incorrect-pitch,pitch,7,1,1,D5,A4,2,2,1,1,-5,0,0,staff-pitch-assignment,pitch_mapping,event-match
piano-grand-voices-vector,incorrect-chord,measure-structure,7,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-grand-voices-vector,incorrect-chord,measure-structure,7,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-grand-voices-vector,incorrect-pitch,pitch,8,1,1,G#4,A4,0,0,1,1,1,0,0,accidental-or-staff-position,pitch_mapping,event-match
piano-grand-voices-vector,incorrect-pitch,pitch,8,1,1,G#4,A4,2,2,1,1,1,0,0,accidental-or-staff-position,pitch_mapping,event-match
piano-grand-voices-vector,incorrect-pitch,pitch,8,1,1,A4,G4,3,3,1,1,-2,0,0,accidental-or-staff-position,pitch_mapping,event-match
piano-grand-voices-vector,incorrect-pitch,pitch,8,1,1,B4,F#4,0,0,1,1,-5,0,0,staff-pitch-assignment,pitch_mapping,event-match
piano-grand-voices-vector,incorrect-pitch,pitch,8,1,1,B4,F#4,2,2,1,1,-5,0,0,staff-pitch-assignment,pitch_mapping,event-match
piano-grand-voices-vector,incorrect-chord,measure-structure,8,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-grand-voices-vector,incorrect-chord,measure-structure,8,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-grand-voices-vector,tempo-mismatch,interpretation,1,,,,,,,,,,,,other,unknown / late MusicXML,evaluator-compact
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,1,1,1,B4,B4,2,1.75,0.5,0.5,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,1,1,1,C5,C5,2.5,2.25,0.5,0.5,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,1,1,1,B4,B4,3,2.75,0.5,0.25,0,0.25,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,1,1,1,B4,B4,3,2.75,0.5,0.25,0,0.25,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,1,1,1,A4,A4,3.5,3,0.5,0.5,0,0.5,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,2,1,1,E4,E4,2,2,0.25,0.5,0,0,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,2,1,1,G4,G4,2.5,2.5,0.25,0.5,0,0,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,C5,C5,1.25,1.5,0.25,0.25,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
