fixture,code,class,measure,staff,voice,expectedPitch,generatedPitch,expectedOnset,generatedOnset,expectedDuration,generatedDuration,pitchDeltaSemitones,onsetDiffQuarters,durationDiffQuarters,clusterHint,likelyPipelineStage,source
piano-dense-advanced-vector,incorrect-chord,measure-structure,7,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,7,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,7,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,7,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-pitch,pitch,8,1,1,F5,F#5,1.5,1.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,8,1,1,G5,G#5,2,2,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,8,1,1,F5,F#5,2.5,2.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-chord,measure-structure,8,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,8,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,8,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,tempo-mismatch,interpretation,1,,,,,,,,,,,,other,unknown / late MusicXML,evaluator-compact
